Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Albania,ALB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,48.3477265681976
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,59.8297294321628
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5343.0377039956
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15162734205.2462
Albania,ALB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,58.932
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,13.78423869805
Algeria,DZA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,32.5195243790896
Algeria,DZA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,18.7022714849352
Algeria,DZA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,49.4909860420309
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,45.3306561165563
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3354.15316371593
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,145743542982.628
Algeria,DZA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,16.908
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..
American Samoa,ASM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..
American Samoa,ASM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,15.1178918169209
American Samoa,ASM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,..
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,154.368932038835
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,15609.7772196843
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,721000000
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.559442769715814
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,12.6601582717327
Andorra,AND,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,3.73356933178986
Andorra,AND,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,79.8154154929299
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,37207.2388711909
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2891002460.29153
Andorra,AND,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.94654357144815
Angola,AGO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,45.6782423367558
Angola,AGO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,7.06304272536463
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,44.3955921450617
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,65.9420289304636
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,1450.90511218489
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,48501561230.001
Angola,AGO,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,75.237
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.28029875431527
Antigua and Barbuda,ATG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,21.1335862331491
Antigua and Barbuda,ATG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2.91298583673523
Antigua and Barbuda,ATG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,67.8111914731633
Antigua and Barbuda,ATG,Trade (% of GDP),NE.TRD.GNFS.ZS,94.3457201737921
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,15224.8585890561
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1410796296.2963
Antigua and Barbuda,ATG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..
Arab World,ARB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.63985901760238
Arab World,ARB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,36.8002553805345
Arab World,ARB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,11.8163814302791
Arab World,ARB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,55.1218229977317
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,73.3386293751778
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,5644.14257045665
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2535508549307.3
Arab World,ARB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,20.695935345115
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.35703367575527
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,22.4088763711802
Argentina,ARG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,14.5905295089183
Argentina,ARG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,54.8578674557962
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,30.203698807416
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,8500.83793850534
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,385740508436.965
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,54.472
Armenia,ARM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,11.3498051554549
Armenia,ARM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,26.8172956979296
Armenia,ARM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,12.344909801717
Armenia,ARM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,53.2412027973394
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,69.4888075396076
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4505.86774175695
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12641698583.2152
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,69.189
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..
Aruba,ABW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,..
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,124.162375085101
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,24008.1278217477
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2558906303.88098
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.00927341456557
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,25.3862495074569
Australia,AUS,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,5.62008023791216
Australia,AUS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,66.2630920720468
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,44.1430455941203
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,51868.2475567823
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1330381544909.3
Australia,AUS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,73.23
Austria,AUT,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.06808171610135
Austria,AUT,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,25.4887323181175
Austria,AUT,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,16.1746066026784
Austria,AUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,63.1917911086096
Austria,AUT,Trade (% of GDP),NE.TRD.GNFS.ZS,99.7082951791188
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,48789.4978498872
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,435049316955.737
Austria,AUT,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,72.918
Azerbaijan,AZE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.7389474235341
Azerbaijan,AZE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,41.9563201571824
Azerbaijan,AZE,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,6.10156507265966
Azerbaijan,AZE,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,42.3542363329985
Azerbaijan,AZE,Trade (% of GDP),NE.TRD.GNFS.ZS,72.0178676487811
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4229.91064904503
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,42693000000
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,71.284
"Bahamas, The",BHS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.827301990855596
"Bahamas, The",BHS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,11.9625612531524
"Bahamas, The",BHS,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,1.36550960572448
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,80.354909478605
"Bahamas, The",BHS,Trade (% of GDP),NE.TRD.GNFS.ZS,59.036762142989
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,23998.2680191207
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,9754600000
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,69.6
Bahrain,BHR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.31379189218897
Bahrain,BHR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,39.8719270507749
Bahrain,BHR,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,18.2943105200797
Bahrain,BHR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,56.9429494294646
Bahrain,BHR,Trade (% of GDP),NE.TRD.GNFS.ZS,140.218012418796
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23433.1872362574
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,34621807712.766
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,45.01
Bangladesh,BGD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,11.9996868602485
Bangladesh,BGD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,32.9115619283378
Bangladesh,BGD,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,20.5983315908994
Bangladesh,BGD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,51.511312488933
Bangladesh,BGD,Trade (% of GDP),NE.TRD.GNFS.ZS,26.271447376215
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2233.30590129762
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,373902197869.16
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,38.812
Barbados,BRB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.93192369376213
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,12.9231028952477
Barbados,BRB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,5.107833206719
Barbados,BRB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,73.0047691398666
Barbados,BRB,Trade (% of GDP),NE.TRD.GNFS.ZS,65.299231873048
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,16882.5015230162
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4738800000
Barbados,BRB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,69.371
Belarus,BLR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,7.07716352415493
Belarus,BLR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,31.3516473974927
Belarus,BLR,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,21.486631801818
Belarus,BLR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,49.0118286679891
Belarus,BLR,Trade (% of GDP),NE.TRD.GNFS.ZS,118.933883690331
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6542.8645398436
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,61371755326.2351
Belarus,BLR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,75.346
Belgium,BEL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.679156944245191
Belgium,BEL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,19.3835150994785
Belgium,BEL,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,12.2570335131353
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,69.7089969195723
Belgium,BEL,Trade (% of GDP),NE.TRD.GNFS.ZS,155.263433762122
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,45609.0034936111
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,526264230147.394
Belgium,BEL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,65.362
Belize,BLZ,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,8.34849168006754
Belize,BLZ,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,16.5969788029169
Belize,BLZ,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,7.05653963896548
Belize,BLZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,61.0749641021455
Belize,BLZ,Trade (% of GDP),NE.TRD.GNFS.ZS,81.6254724466865
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,5185.1580697602
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2047727810.06777
Belize,BLZ,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,49.995
Benin,BEN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,27.1091750361118
Benin,BEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,16.2905490528658
Benin,BEN,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,9.68791310326743
Benin,BEN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,47.8973320949726
Benin,BEN,Trade (% of GDP),NE.TRD.GNFS.ZS,44.8332333768726
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1240.73315536982
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,15686741893.5187
Benin,BEN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,56.654
Bermuda,BMU,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.25549040843763
Bermuda,BMU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,5.63417624162806
Bermuda,BMU,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,0.33638021665575
Bermuda,BMU,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,90.3339074946418
Bermuda,BMU,Trade (% of GDP),NE.TRD.GNFS.ZS,69.1958803841416
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,107791.886435134
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6887147000
Bermuda,BMU,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..
Bhutan,BTN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,15.7030745143919
Bhutan,BTN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,31.7909798261733
Bhutan,BTN,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,4.92917162617384
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,49.9816352759606
Bhutan,BTN,Trade (% of GDP),NE.TRD.GNFS.ZS,71.8303557600359
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3181.33974721703
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2457604042.76364
Bhutan,BTN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,55.605
Bolivia,BOL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,14.0009305366582
Bolivia,BOL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,23.4919320116415
Bolivia,BOL,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,10.9578336531105
Bolivia,BOL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,52.8072617475162
Bolivia,BOL,Trade (% of GDP),NE.TRD.GNFS.ZS,45.5032626166675
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3068.81255516456
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,36629843806.0781
Bolivia,BOL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,61.372
Bosnia and Herzegovina,BIH,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.91443990580606
Bosnia and Herzegovina,BIH,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,23.7775609403246
Bosnia and Herzegovina,BIH,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,12.6618393297438
Bosnia and Herzegovina,BIH,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,54.6561661309433
Bosnia and Herzegovina,BIH,Trade (% of GDP),NE.TRD.GNFS.ZS,82.1112652572898
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6095.10423658487
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,20226036564.4129
Bosnia and Herzegovina,BIH,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,45.577
Botswana,BWA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.20806322830287
Botswana,BWA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,26.6904976327808
Botswana,BWA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,5.65903594237397
Botswana,BWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,65.9171582576184
Botswana,BWA,Trade (% of GDP),NE.TRD.GNFS.ZS,77.6632128124716
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,5875.07060596716
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,14960291541.176
Botswana,BWA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,59.888
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.71148511675454
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,19.506118396283
Brazil,BRA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,10.6929315731175
Brazil,BRA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,61.4484446469373
Brazil,BRA,Trade (% of GDP),NE.TRD.GNFS.ZS,32.3020785410844
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,6923.6999117682
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1476107231194.11
Brazil,BRA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,55.848
British Virgin Islands,VGB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..
British Virgin Islands,VGB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..
British Virgin Islands,VGB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..
British Virgin Islands,VGB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,..
British Virgin Islands,VGB,Trade (% of GDP),NE.TRD.GNFS.ZS,..
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..
British Virgin Islands,VGB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..
Brunei Darussalam,BRN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.21750283610591
Brunei Darussalam,BRN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,59.1336302400797
Brunei Darussalam,BRN,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,15.7698584856288
Brunei Darussalam,BRN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,41.4503545662141
Brunei Darussalam,BRN,Trade (% of GDP),NE.TRD.GNFS.ZS,110.291003658452
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,27179.3528869398
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,12005799653.9835
Brunei Darussalam,BRN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,58.491
Bulgaria,BGR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.49024181395635
Bulgaria,BGR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,21.8248516452383
Bulgaria,BGR,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..
Bulgaria,BGR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,61.4272847442484
Bulgaria,BGR,Trade (% of GDP),NE.TRD.GNFS.ZS,110.328593685454
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,10148.3423954435
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,70368758395.141
Bulgaria,BGR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,68.132
Burkina Faso,BFA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,17.8532851714932
Burkina Faso,BFA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,29.6512696980711
Burkina Faso,BFA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,10.1192989637206
Burkina Faso,BFA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,44.833501727263
Burkina Faso,BFA,Trade (% of GDP),NE.TRD.GNFS.ZS,60.7052471078
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,823.552410880968
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,17725010530.7894
Burkina Faso,BFA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,58.737
Burundi,BDI,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,28.6249500000001
Burundi,BDI,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,10.74295
